row_id,master_index
174,544
243,751
361,1213
918,3327
1201,4502
1541,5874
1638,6302
1697,6543
1744,6722
1837,7057
2201,8711
2261,8934
2312,9160
2354,9381
3185,12834
3225,13004
3874,15931
4264,17775
4375,18278
4382,18294
4895,20519
5096,21421
5164,21774
5460,23091
5602,23752
6392,27392
6557,28157
6610,28380
6956,30015
7011,30289
7166,31058
7275,31625
7414,32270
7609,33102
7723,33662
7930,34657
8148,35716
8623,38048
8664,38258
9013,39810
9040,39947
9468,42270
9770,43695
9958,44482
10028,44842
10060,44998
10092,45170
10187,45649
10294,46161
10373,46492
10672,47886
11356,51304
11743,53358
11789,53594
12020,54862
12136,55520
12238,56079
12496,57453
12702,58487
12722,58548
14209,66554
14269,66894
15212,71960
15382,72887
15513,73525
15599,73978
15654,74240
15720,74583
16195,77039
16245,77278
16381,78030
16454,78457
16462,78523
16546,79020
16760,80139
16772,80217
17503,84322
17548,84590
17653,85081
17933,86478
18339,88719
19425,94521
20151,98575
20294,99311
20306,99373
20312,99396
20397,99840
20416,99931
20604,100972
20628,101104
20866,102446
20880,102540
20902,102661
21064,103471
21377,105211
21637,106615
21651,106695
22184,109716
22432,111022
22569,111887
22673,112543
22707,112748
22713,112779
22804,113254
22876,113693
23049,114603
23405,116784
23444,117055
23511,117486
23530,117612
23973,120135
24264,122028
24501,123367
24522,123503
25258,127662
25550,129354
25766,130641
26015,132097
26550,135151
26669,135900
26863,137013
26903,137225
27252,139341
27419,140351
27520,140929
27763,142335
27815,142560
28080,144214
28327,145615
28776,148403
28861,148876
28972,149544
28975,149555
29045,149990
29129,150488
29254,151233
29627,153441
29679,153713
29950,155384
30253,157303
30353,157967
30570,159228
30665,159732
30946,161386
31910,167417
31920,167495
31950,167664
32407,170606
32480,170956
32506,171110
32532,171246
32797,172920
32798,172936
32916,173603
32921,173636
32957,173853
33101,174863
33135,175009
33378,176480
33886,179864
34467,183392
34479,183450
34692,184811
34849,185799
34940,186371
35162,187722
35196,187886
35397,189167
35512,189928
36065,193411
36137,193855
36267,194639
36381,195245
36497,195992
37074,199692
37091,199773
37096,199800
37179,200350
37759,204019
38181,206582
38469,208373
38570,209044
38692,209955
39022,212075
39033,212141
39101,212515
39264,213566
39342,214062
39391,214386
40236,219670
40638,221205
40823,221996
40884,222310
41814,227232
41956,228108
42390,231206
43000,246871
43128,247535
43930,262821
44055,269924
